# index, label, movie_id, viz, vid, _pos
73,POLICEMAN,316,"{'color': {'r': 255, 'g': 220, 'b': 101, 'a': 1.0}, 'size': 5.0, 'position': {'x': 45.36415, 'y': -334.42548, 'z': 0.0}}",1907750,"array([-12.61214421,  19.07186745])"
74,PRESIDENT JOHNSON,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 93.185844, 'y': 111.52824, 'z': 0.0}}",1907531,"array([-10.74168568,  20.9432024 ])"
75,PRESIDENT KENNEDY,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 221.64142, 'y': -91.80435, 'z': 0.0}}",1905834,"array([-14.22801442,  18.08824469])"
76,PRESIDENT NIXON,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 223.439, 'y': 61.453156, 'z': 0.0}}",1908697,"array([-12.07006208,  21.65228097])"
77,PRINCIPAL,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 79.93796, 'y': 155.57542, 'z': 0.0}}",1904292,"array([-12.04186023,  18.17011191])"
78,REPORTER,316,"{'color': {'r': 205, 'g': 80, 'b': 187, 'a': 1.0}, 'size': 5.0, 'position': {'x': 188.86087, 'y': 17.548546, 'z': 0.0}}",1909955,"array([-14.74689604,  21.22776345])"
79,REVEREND,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': 159.94836, 'y': -95.89518, 'z': 0.0}}",1909515,"array([-13.93608501,  17.7084235 ])"
80,RUBEN,316,"{'color': {'r': 115, 'g': 80, 'b': 205, 'a': 1.0}, 'size': 5.0, 'position': {'x': 231.3042, 'y': -211.85564, 'z': 0.0}}",1907852,"array([-14.2270258 ,  20.58345366])"
81,SECURITY GUARD,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -219.85501, 'y': 171.3419, 'z': 0.0}}",1908720,"array([-13.27068655,  22.16994967])"
82,SGT SIMS,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': -52.766068, 'y': 245.91359, 'z': 0.0}}",1906597,"array([-10.8252862 ,  19.92919783])"
83,SLOW MOTION,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 242.07657, 'y': 142.03111, 'z': 0.0}}",1904889,"array([-14.17462379,  21.23423865])"
84,SOLDIER,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.027506, 'position': {'x': -154.04445, 'y': 232.27304, 'z': 0.0}}",1907000,"array([-11.52403254,  19.89069286])"
85,SONG,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0293155, 'position': {'x': -110.18134, 'y': 274.36874, 'z': 0.0}}",1906239,"array([-10.84276835,  19.45700979])"
86,STRONGARM,316,"{'color': {'r': 169, 'g': 208, 'b': 253, 'a': 1.0}, 'size': 5.0, 'position': {'x': -121.92406, 'y': 345.50253, 'z': 0.0}}",1907096,"array([-11.18716798,  20.13452922])"
87,SUSAN,316,"{'color': {'r': 205, 'g': 80, 'b': 187, 'a': 1.0}, 'size': 5.0, 'position': {'x': 135.27759, 'y': -17.543789, 'z': 0.0}}",1910494,"array([-12.46870409,  20.44228466])"
88,VET,316,"{'color': {'r': 255, 'g': 220, 'b': 101, 'a': 1.0}, 'size': 5.0, 'position': {'x': 92.410904, 'y': -343.45087, 'z': 0.0}}",1907616,"array([-12.8234751 ,  19.35726357])"
89,WESLEY,316,"{'color': {'r': 115, 'g': 80, 'b': 205, 'a': 1.0}, 'size': 5.0, 'position': {'x': 156.76872, 'y': -148.40025, 'z': 0.0}}",1907867,"array([-14.63559451,  20.31228422])"
90,WHITE WOMAN,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': -55.579475, 'y': -234.35075, 'z': 0.0}}",1905492,"array([-13.878484  ,  18.60729732])"
91,WILD-EYED MAN,316,"{'color': {'r': 95, 'g': 202, 'b': 190, 'a': 1.0}, 'size': 5.0, 'position': {'x': -70.417854, 'y': 284.63007, 'z': 0.0}}",1910087,"array([-11.43106572,  17.86064186])"
92,YOUNG HIPPIE,316,"{'color': {'r': 255, 'g': 170, 'b': 51, 'a': 1.0}, 'size': 5.0, 'position': {'x': 91.56984, 'y': -152.10255, 'z': 0.0}}",1908047,"array([-13.04905184,  20.30208935])"
93,YOUNG MAN,316,"{'color': {'r': 205, 'g': 80, 'b': 187, 'a': 1.0}, 'size': 5.0, 'position': {'x': 124.489044, 'y': -176.85678, 'z': 0.0}}",1909981,"array([-15.07396543,  19.98647063])"
